team_id,team_name,region
0,Kru Esports,Americas
1,Sentinels,Americas
2,100 Thieves,Americas
3,EG,Americas
4,2GAME Esports,Americas
5,LOUD,Americas
6,G2 Esports,Americas
7,MIBR,Americas
8,Cloud9,Americas
9,NRG,Americas
10,Leviatan,Americas
11,Furia,Americas
12,EDG,China
13,Titan Esports,China
14,Nova Esports,China
15,DRG,China
16,FPX,China
17,TYLOO,China
18,Bilibili Gaming,China
19,XLG Esports,China
20,Wolves Esports,China
21,Trace Esports,China
22,JD Gameing,China
23,All Gamers,China
24,Team Heretics,EMEA
25,Fnatic,EMEA
26,NAVI,EMEA
27,Team Vitality,EMEA
28,GIANTX,EMEA
29,Apeks,EMEA
30,Team Liquid,EMEA
31,BBL Esports,EMEA
32,FUT Esports,EMEA
33,Karmine Corps,EMEA
34,KOI,EMEA
35,Gentle Mates,EMEA
36,BOOM Esports,Pacific
37,GENG,Pacific
38,DRX,Pacific
39,Paper Rex,Pacific
40,Global Esports,Pacific
41,DFM,Pacific
42,RRQ,Pacific
43,Talon,Pacific
44,T1,Pacific
45,Nongshim RedForce,Pacific
46,ZETA DIVISION,Pacific
47,Team Secret,Pacific